course,rating
" Tricks and Licks""",5.0
#1 Sourdough Bread Baking 101,4.8238095238095235
#2 Bake Artisan Sourdough Bread Like a Professional,4.785714285714286
"(2019) Career Hacking Resume, LinkedIn, Interviewing +More",4.571428571428571
(2019) Growth Hacking with Digital Marketing [Version 6.1],4.419047619047619
Acumen Presents Elizabeth Gilbert's Creativity Workshop,4.609523809523809
Adobe Premiere Pro CS6 The Complete Video Editing Course,4.261904761904762
An Entire MBA in 1 Course Award Winning Business School Prof,4.535
An Entire MBA in 1 CourseAward Winning Business School Prof,4.535
Angular 7 (formerly Angular 2) - The Complete Guide,4.753333333333333
Animal Reiki Practitioner Certification,4.79047619047619
Aquaponic Gardening Growing Fish and Vegetables Together,4.645238095238096
Aromatherapy- Using Essential Oils (5 CEU) Fully Accredited,4.707142857142857
Artificial Intelligence A-Z™ Learn How To Build An AI,3.854761904761905
Arts Therapy - Arts Therapy For Self Healing (Part One),4.5625
Assertiveness Basics The 50-minute Communication Guide,4.430952380952381
Automate the Boring Stuff with Python Programming,4.64321608040201
Become a Product Manager  Learn the Skills & Get the Job,4.7272727272727275
Become a SpeedDemon Productivity Tricks to Have More Time,4.385167464114833
Become a SuperHuman Naturally & Safely Boost Testosterone,4.5476190476190474
Become a SuperLearner® 2 Learn Speed Reading & Boost Memory,4.390476190476191
Beginner Canon Digital SLR (DSLR) Photography,4.683333333333334
Beginner to Pro in Excel Financial Modeling and Valuation,4.504761904761905
Body Language for Entrepreneurs,4.666666666666667
Build Responsive Real World Websites with HTML5 and CSS3,4.7825
Bulletproof Guitar Player Master the Fretboard,4.6475
Business Analysis Fundamentals - 2018,4.654761904761905
Business English Course for ESL Students,4.644736842105263
C# Basics for Beginners Learn C# Fundamentals by Coding,4.8
"CBT for Depression, Anxiety, Phobias and Panic Attacks",4.519047619047619
CORE KOREAN 1 Build up Korean Foundations through Practice,4.832535885167464
Chess Tactics Essentials,4.618852459016393
Chinese Made Easy L1 Understand 65% of Chinese in 10 hours,4.4714285714285715
ClickBank Success – Affiliate Marketing Without A Website,4.683333333333334
Cognitive Behavioural Therapy (CBT) Life Coach Certification,4.433333333333334
Cognitive Behavioural Therapy (CBT) Practitioner Certificate,4.8
Complete C# Unity Developer 2D - Learn to Code Making Games,4.65625
Complete English Course Learn English Language  Beginners,4.42
Complete Java Masterclass - updated for Java 11.,4.3994708994708995
Complete Python Masterclass,4.3619047619047615
Complete SEO Training With Top SEO Expert Peter Kent!,4.5777777777777775
Copywriting secrets - How to write copy that sells,4.661904761904762
Counter-Strike Global Offensive — Play Like a Pro,4.673809523809524
Crucial Concepts in Dog Behavior & Training,4.5285714285714285
Cryptocurrency ICO Investing Course 2018 Identify the Best!,4.457142857142857
Cryptocurrency Investment Course 2018 Fund your Retirement!,4.264285714285714
Crystal Reiki MasterTeacher Certification,4.873809523809523
DSLR Video Production - Start Shooting Better Video Today,4.516666666666667
Data Science A-Z™ Real-Life Data Science Exercises Included,4.533492822966507
Data Science and Machine Learning Bootcamp with R,4.6119047619047615
